Number,Address,List Date,Price,Days on market,Total floor area,Year Built,Age,Lot Size
699,763 UNION STREET,8/19/2019,1625000,7,1822,1905,114,3050
700,2537 E 8TH AVENUE,6/19/2019,2080000,28,3356,2017,2,4026
701,2904 WINDSOR STREET,9/4/2019,1070000,8,2534,1910,109,2178
702,7171 ROSS STREET,9/30/2019,1328888,19,2339,1979,40,4051.08
703,732 E 51ST AVENUE,9/20/2019,2045000,39,3519,2015,4,4026
704,2921 E 54TH AVENUE,5/30/2019,975000,36,690,1954,65,4467
705,7625 BORDEN STREET,5/28/2019,1650000,7,2889,1956,63,5273
706,4233 W 15TH AVENUE,4/1/2019,2090000,78,2024,1978,41,3785.39
707,3649 W 5TH AVENUE,12/4/2019,2480000,0,3113,1912,108,3631.43
708,4038 W 15TH AVENUE,3/2/2020,2280000,7,2166,1930,90,4010
709,3541 ADANAC STREET,3/18/2020,1455800,7,2081,2005,15,3574
710,5036 GLADSTONE STREET,9/30/2019,1494800,6,2318,1990,29,3960
711,4626 WINDSOR STREET,3/17/2020,1333000,6,2035,1950,70,3531
712,5921 ONTARIO STREET,1/20/2020,2138000,0,2367,1992,28,3960
713,241 E 45TH AVENUE,5/24/2019,1795000,17,2892,1941,78,7262
714,347 E 41ST AVENUE,9/30/2019,1140000,31,1996,1929,90,3657.39
715,7928 HUDSON STREET,4/27/2019,2000000,182,2399,1993,26,3983.1
716,2835 ROSEMONT DRIVE,4/5/2019,1650000,134,2581,1964,55,5107.16
717,8244 FRENCH STREET,7/12/2019,1620000,0,2394,1969,50,4026
718,4649 ROSS STREET,4/15/2020,1950000,6,3151,1978,42,6039
719,2737 E 8TH AVENUE,4/15/2019,2047619,119,3620,2019,0,4026
720,5318 PRINCE EDWARD STREET,9/3/2019,2699000,3,3223,2018,1,3696
721,4048 W 10TH AVENUE,6/1/2019,2650000,101,2452,2018,1,4026
722,2545 E 43RD AVENUE,5/12/2019,1392000,84,2382,1979,40,4146.12
723,1319 E 62ND AVENUE,2/17/2020,1228000,3,719,1953,67,3795
724,2335 GRAVELEY STREET,9/16/2019,1275000,13,1699,1923,96,2880
725,7410 MAIN STREET,8/15/2019,1060000,4,1814,1950,69,3465
726,4031 VICTORIA DRIVE,1/15/2020,1455000,4,1827,1901,119,3579
727,3483 TURNER STREET,4/2/2020,1238000,48,2250,1935,85,5115
728,3620 W 2ND AVENUE,1/27/2020,2400000,14,1800,1927,93,3960
729,4544 PRINCE ALBERT STREET,10/27/2019,2695000,1,2749,2019,0,3840
730,2831 W 12TH AVENUE,11/4/2019,1968000,20,1393,1967,52,4026
731,3202 E 62ND AVENUE,7/3/2019,1650000,0,3262,1973,46,7000
732,3623 W 38TH AVENUE,2/25/2020,2225000,6,3041,1988,32,4237.86
733,2777 ROSEMONT DRIVE,7/8/2019,1325000,61,2459,1964,55,4869
734,2451 MCGILL STREET,2/21/2020,1235000,9,2157,1959,61,4026
735,6535 BROOKS STREET,1/2/2020,1890000,19,3095,1992,28,5174
736,7750 HUDSON STREET,2/18/2020,1992000,5,2100,1990,30,3752
737,2309 RUPERT STREET,8/16/2019,1170000,15,1857,1956,63,4026
738,1391 E 61ST AVENUE,7/22/2019,1397500,96,2042,2010,9,3192
739,836 W 22ND AVENUE,6/24/2019,2415000,80,1402,1926,93,5124
740,68 E 39TH AVENUE,9/12/2019,2989000,40,2935,2018,1,4224
741,946 W 14TH AVENUE,6/18/2019,2950000,62,3339,1912,107,6250
742,1941 E 35TH AVENUE,2/14/2020,1352000,21,2155,1989,31,3844
743,3463 E 4TH AVENUE,5/1/2019,1500000,65,3025,1993,26,5069.24
744,255 N KOOTENAY STREET,12/27/2019,1850000,37,2657,2015,5,3696
745,3515 GLADSTONE STREET,9/25/2019,1674000,4,2438,1960,59,3956
746,2187 FRANKLIN STREET,1/21/2020,1260000,13,1950,1980,40,3267
747,3078 E 5TH AVENUE,9/16/2019,1480000,141,2417,1992,28,4026
748,1955 W 42ND AVENUE,5/13/2020,2788000,5,2747,1994,26,4590
749,480 E 21ST AVENUE,7/4/2019,1850000,12,1831,1951,68,5063
750,1180 E 19TH AVENUE,9/30/2019,1635000,8,2287,1926,93,3444
751,1730 VICTORIA DRIVE,2/24/2020,1940000,17,2609,1909,111,3267
752,1130 W 29TH AVENUE,6/3/2019,2420000,10,2840,1925,94,5387.25
753,3123 W 16TH AVENUE,7/8/2019,1800000,34,1695,1953,66,4026
754,885 E 26TH AVENUE,8/19/2019,1330000,0,1963,1914,105,3696
755,3425 ARCHIMEDES STREET,2/12/2020,1035000,8,2060,1947,73,3234
756,4758 KILLARNEY STREET,9/9/2019,1320000,6,1990,1977,42,3297
757,3968 W 13TH AVENUE,6/7/2019,2960000,0,2796,1926,93,6710
758,4320 MILLER STREET,9/30/2019,785000,6,1201,1989,30,1764
759,371 E 16TH AVENUE,1/10/2019,1500000,274,2157,1926,93,4052.97
760,2326 E GEORGIA STREET,10/21/2019,1100000,101,1920,1927,93,3531
761,3106 WINDSOR STREET,3/9/2020,1528000,9,2263,1954,66,3747.83
762,5535 TRAFALGAR STREET,2/18/2020,2180000,14,2782,1937,83,3878
763,2210 E PENDER STREET,7/10/2019,1509000,2,1922,2005,14,3267
764,6892 RADISSON STREET,9/3/2019,950000,41,1850,1980,39,3534
765,3296 W 15TH AVENUE,3/3/2020,2250000,18,2528,1947,73,4026
766,2827 E 27TH AVENUE,4/11/2019,1625000,112,2548,1955,64,6105.7
767,1146 E 59TH AVENUE,10/9/2019,1260500,50,2386,1959,60,3854.4
768,4333 ELGIN STREET,2/10/2020,1325000,23,1900,1910,110,3811.5
769,2506 GARDEN DRIVE,10/31/2019,1475000,176,1720,1946,74,4360
770,759 E 51ST AVENUE,10/22/2019,1625000,11,2348,2003,16,4365
771,3403 CAROLINA STREET,5/11/2020,1044000,16,2120,1911,109,2792.7
772,2991 TURNER STREET,5/27/2019,2105000,97,3748,2019,0,4356
773,2662 FRANKLIN STREET,1/28/2020,1471000,6,2620,1982,38,4026
774,3215 GRANT STREET,3/19/2020,1420000,45,2474,1985,35,4191
775,741 E 11TH AVENUE,5/28/2019,1651000,55,3777,1912,107,4026
776,5379 SHERBROOKE STREET,3/24/2020,1400000,7,2309,1946,74,4054
777,171 E 28TH AVENUE,2/20/2020,1650171,4,2717,1910,110,3394
778,5195 SPENCER STREET,6/14/2019,1120000,115,1635,1947,73,4125
779,8149 MONTCALM STREET,1/6/2020,3000000,34,3365,2012,8,4014.45
780,2327 E 28TH AVENUE,11/19/2019,1598000,41,1457,1945,75,6039
781,8032 SHAUGHNESSY STREET,11/1/2019,1590000,34,1823,1946,73,4088.18
782,1665 E 58TH AVENUE,6/14/2019,1854000,94,2422,2002,17,4939
783,3569 W 21ST AVENUE,10/8/2019,2345000,5,2511,1930,89,4026
784,910 E 56TH AVENUE,11/12/2019,1695000,51,2230,2003,17,4429.6
785,3455 WILLIAM STREET,12/17/2019,985000,8,680,1947,73,3547.5
786,3226 GRANT STREET,11/12/2019,2142857,53,3623,2019,1,4191
787,3544 QUEBEC STREET,9/9/2019,1630000,7,1860,1913,106,1772.8
788,3346 E 8TH AVENUE,8/26/2019,995000,2,1579,1948,71,4024.78
789,1334 E 35TH AVENUE,3/2/2020,1300000,7,1718,1947,73,3657
790,3752 W 50TH AVENUE,2/18/2020,2480000,8,2628,1957,63,9141
791,5612 OLYMPIC STREET,2/18/2020,2950000,69,3643,1930,90,5746
792,4975 CHESTER STREET,8/21/2019,1620000,48,1991,1950,69,6044.64
793,3439 FRANKLIN STREET,11/18/2019,1200000,65,1597,1928,92,4026
794,1163 W 64TH AVENUE,3/5/2020,1948000,10,2114,1994,26,3696
795,2889 MCGILL STREET,3/17/2020,960000,50,800,1948,72,4026
796,6936 CULLODEN STREET,4/17/2019,1563000,56,2251,2003,16,4092
797,455 E 17TH AVENUE,3/11/2020,2720000,5,3223,2006,14,5977
798,4435 PRINCE ALBERT STREET,4/20/2020,1319000,7,1533,1910,110,3399
799,3791 W 41ST AVENUE,7/25/2019,2130000,6,3842,1982,37,5643.61
800,2340 E 4TH AVENUE,3/3/2020,1555000,6,2336,1949,71,4026
801,225 E 58TH AVENUE,11/12/2019,1250000,8,1619,1960,59,3692.7
802,2221 W 16TH AVENUE,7/16/2019,2265000,13,2730,1973,46,6250
803,636 CASSIAR STREET,2/17/2020,1041000,3,2590,1914,106,4026
804,5628 KILLARNEY STREET,4/8/2019,1176000,136,1581,1953,66,4071.87
805,3184 E 23RD AVENUE,11/27/2019,1280000,7,2359,1945,74,3960
806,3338 W 31ST AVENUE,7/22/2019,2350000,136,2000,1937,82,5340.35
807,3151 EAST 7TH AVENUE,3/10/2020,1290000,6,2005,1958,62,4026
808,3388 W 33RD AVENUE,7/25/2019,2050000,20,2197,1928,91,7012.5
809,454 E 54TH AVENUE,7/12/2019,1542180,9,2460,1986,33,4026
810,4782 BRUCE STREET,6/3/2019,2180000,7,3537,2019,0,4059
811,1576 E 62ND AVENUE,2/3/2020,1391000,8,2054,1954,66,5074
812,3888 W 22ND AVENUE,9/6/2019,2910000,78,2485,1930,89,6041.48
813,350 E 60TH AVENUE,10/23/2019,1638000,31,2013,2011,8,3551.22
814,2336 W 20TH AVENUE,7/29/2019,2950000,32,4581,1985,34,6100
815,2271 E 44TH AVENUE,6/17/2019,1437500,36,2615,1971,48,3816
816,1790 W 62 AVENUE,6/2/2019,2750000,175,3931,1987,32,5373
817,3676 ST. CATHERINES STREET,5/25/2020,2356000,8,2400,1941,79,4200
818,3582 FRANKLIN STREET,2/22/2019,1750000,117,3453,2018,1,4026
819,3661 CAMBRIDGE STREET,9/30/2019,1280000,7,1933,1943,76,4024.68
820,1716 NASSAU DRIVE,10/7/2019,1237100,122,1917,1950,70,4274
821,3508 W 17TH AVENUE,6/28/2019,2880000,110,2317,2016,3,3300
822,3664 W 15TH AVENUE,4/8/2019,2345000,57,3249,1915,104,4026.99
823,2938 CHARLES STREET,6/12/2019,2175000,126,3717,2019,0,4191
824,5657 KERR STREET,6/27/2019,1359000,50,1942,1997,22,3450
825,6350 CHESTER STREET,5/16/2020,1330000,4,2100,1920,100,4026
826,319 E 38TH AVENUE,5/13/2020,1585000,6,2399,1968,52,3936
827,3582 E 26TH AVENUE,7/17/2019,1650000,41,2034,2010,9,3630
828,1525 E 31ST AVENUE,1/26/2020,1200000,21,2094,1980,40,3354.42
829,7218 CARTIER STREET,9/30/2019,2779000,15,4122,1994,25,6875
830,6520 VINE STREET,5/6/2019,1798000,47,1867,1945,74,3453
831,3228 E 45TH AVENUE,12/3/2019,2270000,37,3669,2008,12,6236.79
832,381 E 41ST AVENUE,9/30/2019,1000000,37,1814,1946,73,3650.79
833,2078 E 7TH AVENUE,9/9/2019,2688000,29,2750,1940,79,4026
834,8175 LAUREL STREET,1/10/2020,2700000,29,3615,1994,26,6031.08
835,4450 GRANVILLE STREET,1/16/2020,2949900,18,2491,1946,74,10846.28
836,20 E 60TH AVENUE,2/6/2020,1290000,13,1625,1925,95,3330
837,3405 W 23RD AVENUE,5/29/2019,2000000,131,1700,1925,94,3782
838,2412 E 28TH AVENUE,8/7/2019,1058000,47,2136,1955,64,3630
839,6664 VICTORIA DRIVE,10/15/2019,1285000,29,2479,1972,47,3904.23
840,6415 CHESTER STREET,9/30/2019,1350000,7,2106,1935,84,4026
841,2964 W 28TH AVENUE,12/2/2019,2230000,41,301,1936,84,4290
842,3500 WILLOW STREET,2/21/2020,2480000,3,2482,1911,109,2683.56
843,5866 JOYCE STREET,3/26/2020,1351000,4,2273,1980,40,3562
844,3669 MAXWELL STREET,10/15/2019,1155000,5,1128,2012,7,1300
845,511 GARDEN DRIVE,1/28/2020,2189000,32,2221,2020,0,2873
846,645 E 58TH AVENUE,12/11/2019,1530000,1,2961,1975,44,5508
847,8567 CORNISH STREET,7/22/2019,2301000,79,3092,1997,22,5162
848,1878 STAINSBURY AVENUE,3/18/2019,940000,113,2066,1912,107,2884
849,3825 W 19TH AVENUE,8/19/2019,2188000,4,2401,1925,94,4026
850,8549 OSLER STREET,1/6/2020,1557500,53,2030,1927,93,4026
851,4018 FLEMING STREET,9/24/2019,1333000,36,1790,1914,105,3272.05
852,2131 FRASERVIEW DRIVE,6/10/2019,1392000,52,2815,1979,40,4869.84
853,2123 E 1ST AVENUE,8/20/2019,1700000,191,2050,1922,98,4026
854,4289 ELGIN STREET,7/17/2019,1615000,4,2133,1980,39,3481.5
855,1635 E 57TH AVENUE,4/30/2020,1270000,3,1572,1953,67,4075.5
856,4034 W 14TH AVENUE,2/18/2020,2750000,4,2949,1928,92,5368
857,158 E 44TH AVENUE,7/16/2019,1452500,19,1993,1948,71,3894.4
858,1132 E 49TH AVENUE,12/19/2019,1055000,14,1664,1945,75,3432
859,2650 MCGILL STREET,9/20/2019,1090000,66,1566,1950,69,4014
860,323 E WOODSTOCK AVENUE,1/15/2020,1582000,22,2135,1994,26,4125
861,2433 GALT STREET,7/5/2019,1385000,122,2541,1993,26,4026
862,1438 E 17TH AVENUE,1/30/2020,1611000,11,2938,1971,49,5911
863,778 W 69TH AVENUE,1/28/2020,1629000,13,2240,1975,45,3993
864,1244 E KING EDWARD AVENUE,9/30/2019,1250000,7,1823,1913,106,4570.5
865,2552 E 2ND AVENUE,8/8/2019,2110000,5,3457,2019,0,4026
866,1717 E 49TH AVENUE,7/22/2019,1725000,30,3136,1992,27,5254.5
867,5845 CULLODEN STREET,5/27/2019,1300000,103,2388,1975,44,4035.9
868,1404 PARKER STREET,5/23/2019,1350000,43,2324,2005,14,2542
869,2762 MCGILL STREET,6/3/2019,1199000,5,1819,1947,72,4019.83
870,4812 DUMFRIES STREET,11/26/2019,2130000,21,3452,2012,7,4158
871,2262 E 44 TH AVENUE,7/22/2019,1185000,85,1224,1926,93,3816.12
872,3658 E 48TH AVENUE,1/14/2020,1633000,7,2787,1971,49,6313.2
873,660 E 52ND AVENUE,7/11/2019,2360000,225,3342,1980,40,8174
874,2755 ALMA STREET,11/12/2019,1615000,2,1944,1928,91,3960
875,2535 E 1ST AVENUE,2/3/2020,1275000,7,2003,1952,68,4500
876,6151 ST. CATHERINES STREET,11/7/2019,1588008,5,2475,1969,50,4026
877,3354 W 10TH AVENUE,10/8/2019,2255000,92,3128,1928,92,6466
878,3636 W 11TH AVENUE,9/16/2019,2041000,0,2399,1973,46,4027.98
879,826 NOOTKA STREET,9/3/2019,1155000,3,2082,1970,49,3435
880,3235 W 12TH AVENUE,6/10/2019,2300000,8,2172,1928,91,4841
881,5323 SLOCAN STREET,4/1/2020,1153000,6,1798,1957,63,3432
882,6435 NANAIMO STREET,7/25/2019,1285000,1,2500,1961,58,5468
883,1204 LILLOOET STREET,9/30/2019,1705000,7,2509,2011,8,3587.43
884,2929 W 29TH AVENUE,11/1/2019,2000000,12,2494,1937,82,4068.9
885,2716 YALE STREET,3/15/2019,1380000,99,1628,1944,75,4129.75
886,3370 MACDONALD STREET,11/4/2019,1590000,24,2100,1963,56,5125.49
887,8515 CORNISH STREET,10/15/2019,2210000,6,2971,1995,24,5115
888,3487 NORMANDY DRIVE,2/18/2020,2379047,4,3887,2019,1,4510
889,2814 W 20TH AVENUE,10/16/2019,2505000,89,2708,1986,34,4880
890,4173 W 14TH AVENUE,10/17/2019,2850000,8,2504,1995,24,4026
891,2955 GRANT STREET,10/8/2019,1500800,0,2586,1991,28,4254.5
892,7537 HUDSON STREET,6/12/2019,2945000,21,3615,2001,18,6031.5
893,2507 E KENT AVENUE NORTH,5/10/2020,1175000,5,1443,1994,26,2288.74
894,2836 E 23RD AVENUE,6/3/2019,1190000,35,1972,1955,64,3960
895,1570 W 64TH AVENUE,4/23/2019,1984000,75,2828,1920,99,4029.3
896,825 E 31ST AVENUE,10/18/2019,2335000,3,2431,2017,2,3300
897,4625 DUMFRIES STREET,6/10/2019,1665000,140,2288,1998,21,4440
898,215 E 36TH AVENUE,11/26/2019,1500000,1,1951,1941,78,4806.7
899,3242 W 29TH AVENUE,2/8/2020,2512000,16,2950,1967,53,5200
900,995 PENTICTON STREET,3/9/2020,2380000,5,2343,1977,43,3630
901,3721 W 11TH AVENUE,4/20/2020,2150000,12,2192,1995,25,3663
902,1414 E 60TH AVENUE,8/13/2019,1380000,37,1841,1952,67,5313.14
903,3427 DIEPPE DRIVE,2/13/2019,1150000,212,1580,1948,71,4620
904,1159 E 27TH AVENUE,2/3/2020,1375000,7,1836,1947,73,4356
905,3516 W 3RD AVENUE,9/4/2019,2650000,8,3310,1912,107,3986
906,1278 KASLO STREET,3/9/2020,1660000,8,2072,2005,15,3828
907,2476 GALT STREET,3/23/2020,1280000,14,2381,1967,53,4026
908,4187 W 11TH AVENUE,11/25/2019,2338000,1,2570,1925,94,4026
909,1519 W 33RD AVENUE,8/6/2019,2438000,99,3043,2015,4,4305
910,2672 E 57TH AVENUE,11/22/2019,2171428,26,3491,2019,1,4062
911,2196 W 6TH AVENUE,10/6/2019,2490000,36,2502,1912,107,3400
912,505 SKEENA STREET,6/3/2019,1549000,7,2881,1930,89,3960
913,2225 W 16TH AVENUE,1/2/2019,2080000,168,2114,1908,111,6250
914,3568 TURNER STREET,10/29/2019,1230000,40,2101,1992,28,3498
915,7308 ANGUS DRIVE,5/28/2019,2180000,18,2883,1940,79,7434
916,3456 W 36TH AVENUE,10/24/2019,3000000,135,3893,1994,26,6512
917,2880 W 24TH AVENUE,8/30/2019,2743000,31,2414,2008,11,4030
918,1950 NANTON AVENUE,10/18/2019,3000000,4,4158,1920,99,7732.5
919,4648 WINDSOR STREET,2/10/2020,1660000,5,2261,1988,32,3539.25
920,7455 WEST BOULEVARD,9/16/2019,1709000,8,2188,1941,78,4800
921,2276 E 52ND AVENUE,4/20/2020,1245000,1,2414,1986,34,4322.01
922,2455 W 10TH AVENUE,11/19/2019,2680000,11,3334,1930,89,6250
923,3730 W 15TH AVENUE,3/9/2020,2110000,60,2165,1915,105,4026
924,703 HEATLEY AVENUE,7/25/2019,738000,196,1153,1901,119,1525
925,4080 W 35TH AVENUE,3/6/2020,2200000,9,2016,1948,72,4257
926,3208 E 53RD AVENUE,6/6/2019,2680000,0,4436,2019,0,5499.36
927,91 E 40TH AVENUE,10/5/2019,1550000,30,1676,1944,75,4026
928,757 E 59TH AVENUE,11/18/2019,2300000,1,3664,2019,0,3996
929,640 E GEORGIA STREET,5/27/2019,1860000,100,3335,1895,124,3050
930,2709 WILLIAM STREET,2/3/2020,1690000,15,2152,1927,93,3564
931,4292 KASLO STREET,8/22/2019,1058000,21,1593,1934,85,3071.2
932,303 E 51ST AVENUE,7/29/2019,1582500,14,2525,1993,26,4160
933,5232 HOY STREET,7/29/2019,1070000,95,1735,1950,69,3804
934,7827 CARTIER STREET,9/10/2019,1865000,89,2347,1979,40,4026
935,250 E 61ST AVENUE,7/4/2019,935000,5,1620,1910,109,3286
936,369 E 30TH AVENUE,2/20/2020,1575000,2,1905,1910,110,1956.1
937,5818 ALMA STREET,2/28/2020,2570000,9,3357,1929,91,6830
938,1270 KELOWNA STREET,3/19/2020,1035000,17,2450,1945,75,3826
939,2142 NAPIER STREET,4/14/2020,1560000,6,2069,1911,109,4026
940,494 E 12TH AVENUE,10/25/2019,1575000,21,2932,1910,109,4270
941,6847 SHERBROOKE STREET,3/16/2020,2000000,52,3492,2019,1,4019.7
942,1108 E 53RD AVENUE,6/4/2019,1798000,4,3216,1922,97,9180
943,437 VERNON DRIVE,4/22/2020,1510000,18,1892,2017,3,1843.36
944,3599 W 32ND AVENUE,7/1/2019,2455000,109,2324,2019,1,3045.46
945,727 W 64TH AVENUE,5/24/2019,2548800,81,3319,1996,23,5504
946,6343 YEW STREET,3/3/2020,1800000,25,1758,1926,94,4144.47
947,2035 COLLINGWOOD STREET,10/14/2019,2035000,4,2813,1912,107,3600
948,2205 GRAVELEY STREET,9/11/2019,1228000,157,2455,1913,107,3141
949,4772 ELGIN STREET,1/29/2020,2285000,9,2493,2019,1,3606
950,4685 NANAIMO STREET,11/19/2019,1425000,1,2443,1967,52,4614.87
951,4583 WINDSOR STREET,6/5/2019,1615000,2,1782,1912,107,3559.5
952,1503 E 60TH AVENUE,3/16/2020,1500000,58,2500,1956,64,4885.05
953,2211 E 61ST AVENUE,10/16/2019,1488000,4,1924,1952,67,5075
954,2552 WILLIAM STREET,3/10/2020,1726000,6,1777,1946,74,3630
955,2176 W 57TH AVENUE,4/20/2020,2950000,40,3370,1957,63,12883.77
956,3445 W 30TH AVENUE,4/24/2020,2193988,12,1749,1935,85,4290
957,2919 E 54TH AVENUE,3/18/2020,1288000,46,690,1954,66,4467
958,374 E 26TH AVENUE,4/30/2019,860000,101,1000,1910,109,2027.75
959,5769 JOYCE STREET,3/17/2020,1594000,23,2192,2002,18,4026
960,2825 ONTARIO STREET,3/10/2020,1898500,7,2068,1901,119,2475
961,3680 HENNEPIN AVENUE,3/16/2020,1244000,1,2127,1980,40,2825
962,521 UNION STREET,7/5/2019,1380000,56,2538,1901,118,3058
963,3839 ST. CATHERINES STREET,2/5/2020,1150000,7,1299,1913,107,3300
964,3335 W 39TH AVENUE,5/8/2019,2300000,69,3016,1941,78,5320
965,2105 E 43RD AVENUE,10/28/2019,1302000,33,2033,1956,63,4028.04
966,2725 E 18TH AVENUE,3/4/2020,2188000,7,2566,2017,3,3379.2
967,1225 E 35TH AVENUE,2/14/2020,1730000,10,1940,1978,42,3214.5
968,7898 HUDSON STREET,1/9/2019,2043000,241,2378,1990,29,3983.1
969,4054 W 14TH AVENUE,6/17/2019,2180000,8,2140,1972,47,4022.7
970,4047 W 18TH AVENUE,9/11/2019,2050000,7,3374,1927,92,4492.95
971,4726 GOTHARD STREET,3/16/2020,1170000,7,1744,1959,61,3630
972,2208 E 43RD AVENUE,2/18/2020,1920000,6,2526,1997,23,5374.32
973,7970 OAK STREET,9/5/2019,1950000,82,3724,1928,91,5925
974,8092 HAIG STREET,7/2/2019,2200000,70,3206,2019,0,3846.01
975,4560 W 7TH AVENUE,8/21/2019,2300000,4,2224,1990,29,3715.8
976,1888 E 53RD AVENUE,5/17/2019,1299000,31,1989,1989,30,3456
977,7569 VIVIAN DRIVE,7/2/2019,2670000,78,4652,2017,2,5415
978,3513 W 19TH AVENUE,8/21/2019,2850000,75,2818,2001,18,4026
979,3006 W 28TH AVENUE,8/7/2019,2380000,42,3001,1927,92,4297.92
980,2215 W 13TH AVENUE,5/19/2020,2840000,9,5872,1910,110,6250
981,933 E 51ST AVENUE,6/4/2019,1450000,2,2606,1983,36,4397.25
982,428 E 46TH AVENUE,4/8/2019,1636500,121,2469,1996,23,4026
983,416-418 UNION STREET,9/9/2019,1600000,32,2301,1980,39,3150
984,3676 NAPIER STREET,9/25/2019,1200000,4,2228,1983,36,3550.8
985,6583 KNIGHT STREET,6/24/2019,1549900,25,2789,2017,2,3676
986,3280 GEORGIA STREET,1/16/2020,904000,44,2166,1928,92,3547.5
987,3051 KITCHENER STREET,10/29/2019,1350000,28,1926,1944,75,4254.5
988,5239 PRINCE ALBERT STREET,8/20/2019,1580000,3,2205,1992,27,3630
989,1594 E 22ND AVENUE,8/6/2019,1144000,4,1953,1923,96,3300
990,1083 E 57TH AVENUE,9/10/2019,1070000,4,1041,1941,78,3656.4
991,4995 ELGIN STREET,5/22/2019,1285000,23,2028,1963,56,3300
992,3683 DUNDAS STREET,2/10/2020,1410000,11,2347,1927,93,4026
993,2667 E 22ND AVENUE,10/30/2019,1602000,7,2108,2007,12,3630
994,2575 E 29TH AVENUE,7/30/2019,1060000,9,1700,1946,73,3333
995,2032 E 22ND AVENUE,10/9/2019,2190476,30,3412,2019,0,4026
996,4827 JOYCE STREET,10/30/2019,1358000,5,2071,1996,23,3300
997,795 E 52ND AVENUE,10/4/2019,1388000,14,1917,1996,23,3323
998,3460 QUEBEC STREET,10/29/2019,1408000,7,2067,1913,106,1952
999,1366 E 49TH AVENUE,11/4/2019,1577000,8,2160,2007,12,3597
1000,5664 TYNE STREET,12/2/2019,1358000,8,2464,1971,48,4422.68
1001,3308 AUSTREY AVENUE,8/17/2019,1725000,63,2894,2019,0,3300
1002,6583 CLARENDON STREET,1/14/2020,1605000,29,2501,1970,50,4356
1003,3655 TRAFALGAR STREET,3/30/2020,2430000,8,2911,1988,32,4139.85
1004,414 E 60TH AVENUE,5/19/2020,1197232,5,1754,1954,66,3382
1005,6550 LANCASTER STREET,4/25/2019,1500000,64,2134,1959,60,5718.19
1006,2258 E 37TH AVENUE,8/12/2019,1480000,106,2603,1979,40,4661.2
1007,601 E PENDER STREET,1/11/2020,1670000,123,4100,1908,112,4150
1008,2305 W KING EDWARD AVENUE,4/23/2019,2150000,42,2109,1951,68,6093
1009,1738 W 58TH AVENUE,3/4/2019,2600000,106,3380,1991,28,5600
1010,2701 W 1ST AVENUE,9/5/2019,2100000,11,2942,1922,97,2599
1011,3027 E 2ND AVENUE,9/16/2019,1280000,2,1586,1946,73,5020
1012,3475 W 8TH AVENUE,5/27/2019,1890000,16,2757,1946,73,3465
1013,2705 E 46TH AVENUE,8/20/2019,1470000,22,2500,1973,46,4026
1014,3266 GRAVELEY STREET,8/26/2019,1235000,0,2392,1964,55,3846
1015,884 E 28TH AVENUE,9/3/2019,1586000,6,2309,1932,87,4777.5
1016,1128 E 26TH AVENUE,7/24/2019,1260000,20,1808,1960,59,3696
1017,8490 ADERA STREET,5/28/2019,2398000,129,2760,2001,18,4583.8
1018,2425 DUNDAS STREET,9/3/2019,2000000,57,3448,2019,0,4026
1019,3275 E 20TH AVENUE,6/25/2019,1106000,106,1485,1949,70,3620
1020,4314 DUMFRIES STREET,11/25/2019,1558000,22,2091,1953,66,4989.2
1021,3910 INVERNESS STREET,6/2/2019,960000,7,2142,1912,107,2697
1022,5755 PRINCE ALBERT STREET,2/11/2020,1652000,24,2016,1952,68,5030
1023,3850 LILLOOET STREET,9/30/2019,1230000,7,2240,1974,45,3552.25
1024,886 E 38TH AVENUE,4/15/2019,1185000,114,2223,1911,108,4026
1025,2148 E 4TH AVENUE,7/16/2019,1500000,182,1695,1912,108,2590
1026,926 E 58TH AVENUE,11/6/2019,1060000,0,1650,1946,73,3692.7
1027,3782 ONTARIO STREET,1/31/2020,1655000,28,2354,1929,91,3387
1028,3037 W 42ND AVENUE,2/3/2020,2605000,8,2487,1991,29,4050
1029,4010 W 19TH AVENUE,1/8/2019,2880000,203,3004,1939,80,5795
1030,3980 W 23RD AVENUE,6/3/2019,3000000,15,2765,1931,88,4026
1031,3987 TUPPER STREET,5/8/2019,2350000,147,3481,1929,90,5886.65
1032,3110 NANAIMO STREET,4/1/2019,1100000,87,1250,1943,76,5910
1033,1470 E 28TH AVENUE,10/21/2019,1600000,18,3188,1970,49,6176
1034,2504 E 1ST AVENUE,4/23/2019,1185000,54,2308,1956,63,4483
1035,7312 VICTORIA DRIVE,7/17/2019,1500000,30,2101,1941,78,7058.04
1036,3981 W 11TH AVENUE,1/23/2020,2798000,10,2498,1925,95,4029
1037,2539 E 18TH AVENUE,9/19/2019,1245000,45,1660,1942,77,4105
1038,3169 WATERLOO STREET,7/22/2019,2456000,5,3303,1990,29,5517
1039,4435 RUPERT STREET,8/6/2019,1220000,42,1857,1953,66,4573
1040,2606 E 5TH AVENUE,4/29/2019,1400000,58,2092,1942,77,4026
1041,1175 WAVERLEY AVENUE,6/4/2019,1350000,50,2732,1971,48,6093
1042,329 E 24TH AVENUE,2/26/2020,1950000,4,2152,1910,110,4057
1043,3432 E 23RD AVENUE,6/11/2019,1314000,43,2650,1966,53,3960
1044,3379 W 23RD AVENUE,9/11/2019,2175000,14,1636,1928,91,4026
1045,5597 INVERNESS STREET,3/4/2019,1950000,145,2964,2012,7,4125
1046,3427 MONS DRIVE,11/6/2019,1210000,1,1446,1948,71,4510
